Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Орлик,Артем,Андрійович,Чоловіча,10.11.1999,Реабілітолог,село Кам'янка-Дніпровська,"набережна Дубова, буд. 37, Самбір, 20858",+380 93 155-20-16,kozakvioletta@example.org
Чорновіл,Соломія,Іванівна,Жіноча,28.06.1945,Дерун,місто Сквира,"шосе Мазепи Івана, буд. 984, Лиман , 71842",008 572 20 20,marta95@example.net
Скоробогатько,Левко,Петрович,Чоловіча,02.04.1974,Гінеколог,селище Почаїв,"шосе Хімічна, буд. 224, Олевськ, 91723",+380 43 530-63-61,riabchenkoiustyna@example.net
Жук,Ярема,Іванович,Чоловіча,13.04.1968,Кушнір,село Берислав,"узвіз Чорноморський 9-й, буд. 144, Амвросіївка, 66194",021 102 55 87,bohdantkach@example.net
Саченко,Мілена,Сергіївна,Жіноча,19.11.1940,Музичний редактор,місто Міусинськ,"проспект Кордонна, буд. 03 кв. 211, Ланівці, 69317",+380 (03) 124-57-99,rozaliiabaranyk@example.net
Царенко,Августин,Олегович,Чоловіча,19.05.1998,Штукатур,хутір Липовець,"проспект Іподромний, буд. 557, Тиврів, 49535",+380 83 175-82-07,martyn93@example.org
Даценко,Віра,Артемівна,Жіноча,12.02.1944,Ґрунтознавець,місто Яготин,"проспект Восьмого Березня Лінія 1-ша, буд. 102, Сіверськ, 51036",048 433 16 77,eiurchuk@example.com
Цимбалюк,Клавдія,Денисівна,Жіноча,19.04.1966,Каскадер,хутір Коростень,"парк Південна, буд. 93, Дніпрорудне, 07406",+380 20 742-73-17,bohuslava72@example.net
Запорожець,Володимира,Сергіївна,Жіноча,25.04.2004,Паблік рилейшнз,хутір Зугрес,"парк Проїзний 1-й, буд. 0, Хирів, 25582",064 105 12 25,prykhodkoanita@example.org
Жаліло,Аарон,Сергійович,Чоловіча,09.11.1983,Різноробочий,місто Першотравенськ,"площа Депутатський, буд. 99 кв. 2, Лиман , 76764",+380 (89) 956-83-23,ielysavetaturkalo@example.org
Самойленко,Вадим,Сергійович,Чоловіча,03.12.1991,Візажист,село Бар,"вулиця Деволанівська, буд. 747 кв. 764, Білицьке, 43853",+380 (88) 145-43-59,amalyshko@example.org
Дурдинець,Марʼяна,Ярославівна,Жіноча,13.09.1963,Електрослюсар,село Гірське,"набережна Виїзна, буд. 81 кв. 80, Білогірськ, 16198",083 813 92 12,lytvynvalentyna@example.org
Жарко,Софія,Андріївна,Жіноча,16.12.1983,Кінорежисер,село Любомль,"вулиця Маринеско узвіз, буд. 2 кв. 5, Новоукраїнка, 38175",+380 33 584-16-31,piddubnyisymon@example.net
Гузь,Людмила,Ярославівна,Жіноча,06.11.1957,Прокурор,селище Біла Церква,"площа Одарія, буд. 9 кв. 78, Миколаїв, 08811",+380 45 634-93-20,kzaichenko@example.com
Шевченко,Святослав,Денисович,Чоловіча,09.01.1999,Паралегал,селище Сокаль,"вулиця Наявний 2-й, буд. 2, Коломия, 44874",366 03 35,ofranko@example.net
Гресь,Костянтин,Артемович,Чоловіча,29.12.1942,Футболіст,село Вознесенівка,"провулок Олександра Тимошенка, буд. 2 кв. 9, Семенівка, 77589",716 07 78,solomon97@example.net
Копитко,Альберт,Олегович,Чоловіча,23.06.1938,Фармацевт,селище Луцьк,"шосе Степна, буд. 5 кв. 1, Вільногірськ, 84485",039 007 08 19,anitatychyna@example.com
Килимник,Тимофій,Іванович,Чоловіча,24.04.1961,Візажист,місто Білозерське,"площа Радісна, буд. 13 кв. 971, Первомайський , 67216",043 531 32 63,iustynakonoplenko@example.net
Демʼянюк,Сніжана,Артемівна,Жіноча,16.07.1976,Електротехнік,село Полонне,"набережна 411-ї батареї, буд. 011 кв. 2, Болехів, 78882",+380 13 880-89-85,iukhymdanyliuk@example.org
Журавель,Ростислав,Сергійович,Чоловіча,02.01.1998,Композитор,хутір Пустомити,"набережна Розумовський 2-й, буд. 9 кв. 992, Буча, 63720",+380 15 613 35 64,sofiiazaruba@example.com
Бандера,Мирослав,Михайлович,Чоловіча,10.04.1956,Антрополог,хутір Рожище,"узвіз Басейний 1-й, буд. 43 кв. 861, Інкерман, 69192",199 30 50,ivan25@example.net
Самойленко,Августин,Михайлович,Чоловіча,22.06.1969,Краєзнавець,місто Чуднів,"сквер Асташкіна, буд. 60, Краматорськ, 77068",+380 54 013-40-66,varvarazaika@example.org
Петрик,Кирило,Олегович,Чоловіча,16.10.1955,Драматург,село Кодима,"набережна Ремонтна, буд. 6, Алупка, 37895",393 05 42,ustymzasukha@example.org
Якимчук,Єфрем,Андрійович,Чоловіча,16.09.1939,Зоолог,селище Олександрівськ,"площа Садова 6-та, буд. 40 кв. 374, Зеленодольськ, 04300",+380 41 829-33-72,kbabii@example.net
Єщенко,Августин,Васильович,Чоловіча,10.02.1956,Кур'єр,місто Лебедин,"проспект Ковалевського, буд. 03, Борщів, 19926",003 574 90 38,vermenychklyment@example.com
Шаповал,Августин,Олегович,Чоловіча,31.08.1948,Пекар,хутір Сокаль,"вулиця Кузнечна, буд. 71 кв. 8, Макіївка, 35141",009 696-23-68,artymboleslav@example.org
Андрійович,Розалія,Михайлівна,Жіноча,16.07.2004,Секретар,село Богуслав,"набережна Люстдорфська дорога, буд. 790, Вознесенівка, 93837",+380 (31) 457-49-01,oryna52@example.net
Вахній,Сніжана,Василівна,Жіноча,06.01.1999,Перекладач,село Горлівка,"сквер Шилова, буд. 95 кв. 455, Камінь-Каширський, 17319",+380 25 939-15-22,zoriansirchenko@example.net
Пелех,Орест,Артемович,Чоловіча,31.08.1992,Гірничий інженер,село Рівне,"площа Навігаційний, буд. 99 кв. 5, Вилкове, 54862",098 838-32-81,varfolomii45@example.net
Барабаш,Варфоломій,Ярославович,Чоловіча,05.01.1980,Кінорежисер,селище Жданівка,"сквер 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 570 кв. 471, Севастополь, 63723",067 602-53-89,havriushenkovolodymyr@example.net
Титаренко,Мартин,Денисович,Чоловіча,03.10.1949,Кіноактор,селище Теребовля,"сквер Заводська, буд. 2 кв. 559, Гребінка, 23647",092 795 78 55,sofiia35@example.com
Прокопович,Наталія,Іванівна,Жіноча,31.12.1990,Стропальник,село Тиврів,"шосе Траса Здоров'я, буд. 39, Шумськ, 75017",403 76 31,aleksiukievhen@example.org
Даценко,Світлана,Михайлівна,Жіноча,25.09.1971,Модельєр,місто Коростень,"вулиця Маршала Малиновського, буд. 65 кв. 5, Яготин, 08244",+380 41 656 06 54,borys09@example.com
Гоголь-Яновський,Дан,Ярославович,Чоловіча,16.12.1970,Швачка,місто Охтирка,"проспект Старицького, буд. 37, Карлівка, 60309",+380 15 344-44-72,iakymchukoleksandr@example.com
Фесенко,Амвросій,Олегович,Чоловіча,07.08.1989,Соціолог,хутір Нововолинськ,"узвіз Косвена, буд. 12 кв. 204, Трускавець, 35291",+380 85 627-71-07,marusia02@example.net
Гунько,Леон,Артемович,Чоловіча,06.07.1968,Фольклорист,селище Олевськ,"узвіз Аркадійська, буд. 14, Берестечко, 87833",033 625-71-07,albertzabila@example.net
Дурдинець,Олена,Петрівна,Жіноча,31.08.1958,Клоун,хутір Корець,"вулиця Манежна, буд. 758 кв. 26, Арциз, 27679",029 027-10-63,pylyptarasenko@example.org
Батіг,Ірена,Петрівна,Жіноча,05.11.1996,Ґрунтознавець,село Кілія,"сквер Льва Толстого, буд. 850 кв. 8, Федорівка, 49130",+380 68 251-15-97,kovpakiryna@example.com
Баранник,Кирило,Ярославович,Чоловіча,07.11.1990,Штукатур,місто Перещепине,"парк Просьолочна, буд. 0, Куп'янськ, 12627",+380 37 990-83-93,jbabychenko@example.org
Дробаха,Хома,Михайлович,Чоловіча,14.09.1991,Хореограф,місто Вільнянськ,"парк Недєліна, буд. 761 кв. 2, Вуглегірськ, 38059",053 887-86-41,davyd30@example.org
Влох,Стефан,Андрійович,Чоловіча,18.04.2000,Кінорежисер,село Тисмениця,"провулок Панаса Мирного, буд. 924 кв. 12, Бунге , 41891",+380 20 791 98 82,durdynetsmykhailo@example.com
Оробець,Орест,Андрійович,Чоловіча,19.11.1971,Медик,місто Авдіївка,"набережна Капітана Кузнецова, буд. 613, Зугрес, 35684",696-26-41,avramenkostepan@example.net
Сомко,Іван,Васильович,Чоловіча,04.09.2007,Соціолог,місто Кременець,"вулиця Льва Толстого, буд. 0 кв. 69, Деражня, 15008",+380 06 805 33 24,vira50@example.com
Іваненко,Богуслава,Іванівна,Жіноча,29.10.1998,Літературознавець,село Моспине,"вулиця Успенський, буд. 25, Кальміуське, 80481",061 898 59 51,ustymdrozdenko@example.net
Калениченко,Онисим,Артемович,Чоловіча,20.10.1985,Фотограф,хутір Шостка,"провулок Толбухіна, буд. 21, Ясинувата, 94129",+380 82 093 09 30,jbandura@example.org
Зінкевич,Олександр,Денисович,Чоловіча,22.07.1953,Льотчик,хутір Старий Крим,"парк Задніпровського, буд. 33 кв. 983, Олешки, 20135",+380 (20) 745-56-12,wshchyrytsia@example.org
Абрагамовський,Олександр,Васильович,Чоловіча,27.06.1988,Географ,хутір Нова Каховка,"сквер Пантелеймонівська, буд. 2, Заводське, 37851",+380 34 773 07 37,andriiverhun@example.com
Царенко,Тереза,Іванівна,Жіноча,04.08.1964,Археолог,місто Суходільськ,"площа Юхима Геллера, буд. 4 кв. 108, Донецьк, 12057",069 68 08,pzhadan@example.com
Мазепа,Емілія,Олегівна,Жіноча,18.01.1992,Сценарист,село Марганець ,"набережна Яблочкіної, буд. 2, Сарни, 87880",+380 57 069 91 87,arsenychsolomiia@example.com
Тимченко,Тарас,Андрійович,Чоловіча,04.09.1989,Менеджер,місто Первомайськ,"шосе Деревообробний 1-й, буд. 163, Сіверськ, 78757",+380 22 341 91 26,piddubnyibohuslava@example.com
Байрак,Єфрем,Олегович,Чоловіча,28.11.1969,Програміст,місто Шахтарськ,"вулиця Іванова 2-й, буд. 3, Радомишль, 25692",526-42-73,okseniiakalchenko@example.com
Василенко,Людмила,Артемівна,Жіноча,11.07.2001,Провізор,селище Боярка,"вулиця Михайла Божія, буд. 694 кв. 6, Яремче, 43727",035-36-02,sviatoslavmedvedenko@example.org
Опанасенко,Валерій,Михайлович,Чоловіча,22.03.1994,Публіцист,хутір Гола Пристань,"сквер Петра Лещенка, буд. 734, Полтава, 90655",592 08 29,opanassmyk@example.net
Євтушенко,Левко,Артемович,Чоловіча,21.09.1948,Інженер,хутір Красилів,"парк Кленова, буд. 13, Прилуки, 54687",005 474 48 29,gabrahamovskyi@example.com
Доценко,Станіслав,Сергійович,Чоловіча,07.04.2004,Журналіст,місто Почаїв,"провулок Агрономічна, буд. 82 кв. 2, Вараш, 05733",080 557-20-55,avrelii84@example.net
Затовканюк,Світлана,Михайлівна,Жіноча,12.10.1959,Професор,місто Погребище,"сквер Писарева, буд. 63 кв. 709, Гірське, 21834",+380 (04) 175-98-77,taras48@example.com
Батуринець,Назар,Іванович,Чоловіча,09.04.1985,Кінорежисер,село Лохвиця,"узвіз Ювілейний 2-й, буд. 220 кв. 44, Карлівка, 39190",+380 48 812-57-98,nestorshcherbak@example.org
Корбут,Віталій,Михайлович,Чоловіча,14.04.1948,Економіст,місто Радивилів,"проспект Професора Каришковського, буд. 4, Рудки, 24698",039 758-17-79,latroshchenko@example.com
Романчук,Дмитро,Михайлович,Чоловіча,09.04.1949,Етнограф,місто Бобровиця,"сквер Маршала Бабаджаняна, буд. 852 кв. 91, Вуглегірськ, 37797",+380 14 382-55-29,onysymkorzh@example.net
Верменич,Єлисавета,Михайлівна,Жіноча,09.06.1967,Журналіст,селище Миргород,"шосе Посмітного, буд. 88 кв. 511, Хмельницький, 32727",093 653 33 95,ponufriienko@example.org
Петлюра,Ілля,Іванович,Чоловіча,25.04.2000,Музикант,місто Кадіївка,"парк Балківська, буд. 75, Заліщики, 07181",025 911-36-46,mchalenko@example.net
Захарченко,Гордій,Петрович,Чоловіча,01.06.1981,Євнух,хутір Білозерське,"вулиця Флотський 1-й, буд. 188, Кролевець, 03353",005 563-82-71,stanislav80@example.net
Скопенко,Демʼян,Михайлович,Чоловіча,18.11.1959,Перекладач,хутір Тальне,"проспект Штабний, буд. 187 кв. 8, Токмак, 55124",+380 (87) 431-70-38,klazarenko@example.org
Ейбоженко,Зиновій,Олегович,Чоловіча,18.05.1977,Композитор,хутір Хмельницький,"вулиця Удільний, буд. 525, Любомль, 16906",543-96-92,vernydubliza@example.org
Парасюк,Володимир,Васильович,Чоловіча,04.06.2000,Музикант,селище Пологи ,"вулиця Морехідний, буд. 58 кв. 2, Рава-Руська, 13248",+380 92 856-29-92,hlib05@example.com
Олійник,Анжела,Михайлівна,Жіноча,09.08.1944,Золотар,хутір Ясинувата,"вулиця Академіка Філатова, буд. 27 кв. 280, Світлодарськ, 49392",593-43-80,kyrylo52@example.org
Павличенко,Кирило,Андрійович,Чоловіча,22.10.1981,Музикознавець,село Добропілля,"сквер Шолохова, буд. 2 кв. 8, Тлумач, 69412",+380 (15) 685-67-94,zakharvasylechko@example.net
Талан,Юстина,Олегівна,Жіноча,28.08.1947,Гінеколог,селище Куп'янськ,"площа Горбатий міст, буд. 7 кв. 65, Ізюм, 34480",+380 (61) 372-49-27,iteslia@example.net
Твердохліб,Мирон,Сергійович,Чоловіча,11.01.1967,Скульптор,село Гірське,"проспект 10-та Лінія Марії Демченко, буд. 2 кв. 632, Балта, 86065",+380 81 636-20-03,etsarenko@example.net
Пилипенко,Лукʼян,Олегович,Чоловіча,12.06.1942,Мистецтвознавець,місто Лубни,"набережна Урожайна, буд. 124 кв. 575, Бахмач, 95358",114 56 13,iustyna96@example.com
Лемешко,Опанас,Васильович,Чоловіча,12.08.1947,Електромонтер,місто Джанкой,"провулок Санаторний, буд. 971 кв. 20, Мукачево, 61526",+380 21 729-83-21,shamraisymon@example.com
Бевзенко,Вікторія,Василівна,Жіноча,11.02.1952,Головний меркшейдер,село Рахів,"площа Миколаївський 1-й, буд. 80, Кам'янка-Дніпровська, 01358",781 66 49,prokhir29@example.org
Засенко,Данна,Петрівна,Жіноча,19.09.1975,Соціолог,місто Суходільськ,"провулок Туристська, буд. 37, Березань , 08491",751-16-86,vladyslavchupryna@example.net
Єрошенко,Валентина,Денисівна,Жіноча,01.06.1985,Каскадер,місто Нове Давидково,"площа Квіткова, буд. 1 кв. 1, Новодністровськ, 37424",+380 (26) 683-66-49,omelianzakharchenko@example.org
Шаблій,Аліна,Іванівна,Жіноча,28.06.1961,Нотаріус,селище Селидове,"вулиця Леонова, буд. 316, Любомль, 10148",+380 60 312-34-36,taras06@example.org
Малик,Соломія,Андріївна,Жіноча,08.02.1999,Шериф,хутір Переяслав,"набережна Чорноморський 9-й, буд. 5 кв. 12, Галич, 10675",+380 54 644-24-52,zkalchenko@example.org
Скиба,Теодор,Сергійович,Чоловіча,16.03.1966,Продюсер,місто Татарбунари,"провулок Посівна, буд. 20 кв. 2, Макіївка, 85452",072 048-37-24,khrystenkohennadii@example.org
Товстоліс,Соломон,Іванович,Чоловіча,04.05.1952,Бібліотекар,село Токмак,"вулиця Космонавта Комарова, буд. 451, Роздільна, 74772",+380 88 124-73-12,idavymuka@example.net
Прокопович,Богодар,Михайлович,Чоловіча,03.01.1961,Юрист,селище Кременець,"провулок Стельмаха, буд. 8, Обухів, 80326",+380 86 345 11 69,zaikavasyl@example.net
Палій,Тетяна,Василівна,Жіноча,30.08.1953,Складальник,хутір Селидове,"проспект Професора Коровицького, буд. 03, Олевськ, 06397",124 31 70,orysia75@example.net
Опанасенко,Арсен,Артемович,Чоловіча,26.08.1963,Археолог,село Борщів,"проспект Одеський, буд. 367, Нова Одеса, 51549",+380 (94) 716-89-11,tychynapavlo@example.org
Алексійчук,Єва,Іванівна,Жіноча,18.06.1940,Лікар,село Івано-Франківськ,"сквер Старопортофранківська, буд. 60, Дубровиця, 20193",+380 (72) 253-19-11,marusiahabelko@example.com
Вдовиченко,Оксана,Денисівна,Жіноча,30.04.1987,Мовознавець,хутір Стрий,"вулиця Тупиковий, буд. 46 кв. 563, Географія Вільнянська, 77937",840 39 89,iustynahuzenko@example.com
Затула,Оксенія,Василівна,Жіноча,17.01.1941,Ветеринар,місто Олешки,"набережна Трамвайна, буд. 2, Галич, 16697",711 08 42,marko42@example.org
Приходько,Соломія,Олегівна,Жіноча,26.07.1995,Акушер,селище Дебальцеве,"проспект Донецька, буд. 00 кв. 4, Жидачів, 95902",051 338 20 38,goliinyk@example.org
Цюпа,Мирослав,Денисович,Чоловіча,01.07.1961,Краєзнавець,хутір Свалява,"узвіз Лобачевського, буд. 90 кв. 79, Селидове, 02099",+380 28 716-10-66,varfolomiiieshchenko@example.net
Шморгун,Василь,Іванович,Чоловіча,23.12.1966,Будник,селище Новомиргород,"шосе Сашка Хорошенка, буд. 61 кв. 4, Канів, 21859",+380 53 397 44 28,volodymyrriabets@example.org
Корпанюк,Клавдія,Василівна,Жіноча,28.11.1970,Співак,селище Скадовськ,"площа Офіцерський 2-й, буд. 0 кв. 416, Родинське, 84855",363-18-95,leon05@example.org
Чумак,Артем,Сергійович,Чоловіча,11.04.1963,Фрілансер,місто Ужгород,"шосе Гімназична, буд. 19 кв. 748, Обухів, 51850",033 116 68 63,milenaovcharenko@example.com
Кириленко,Олесь,Сергійович,Чоловіча,14.09.1956,Соціолог,місто Чернігів,"шосе Черепанових 2-й, буд. 05, Тернівка , 95104",974 02 35,demianbakumenko@example.net
Євдокименко,Демид,Сергійович,Чоловіча,09.05.1991,Антрополог,хутір Шахтарськ,"сквер Поїзна, буд. 618 кв. 005, Теплодар, 67045",+380 52 195-78-36,priskamakohon@example.org
Ващенко-Захарченко,Богдан,Денисович,Чоловіча,08.03.1984,Конструктор,місто Зміїв,"площа В’ячеслава Чорновола, буд. 7 кв. 25, Теплодар, 71629",060 179 02 59,orobetsroman@example.org
Короленко,Трохим,Васильович,Чоловіча,30.10.1953,Акушер,село Знам'янка,"парк Східний 2-й, буд. 97, Вугледар, 94352",+380 77 626-15-32,wbabych@example.net
Гук,Аніта,Петрівна,Жіноча,14.03.1993,Адвокат,хутір Кобеляки,"вулиця Лиманний, буд. 3 кв. 17, Володимир-Волинський, 83873",+380 11 186-80-62,dankokamilla@example.org
Івасюк,Володимира,Василівна,Жіноча,02.02.2002,Психолог,село Скалат,"шосе Балтський 6-й, буд. 679, Хрустальний, 04837",007 469-09-85,riabchenkooleksa@example.com
Скиба,Ярослава,Ярославівна,Жіноча,18.11.1982,Мікробіолог,село Малин,"шосе Соляний 4-й, буд. 384, Іловайськ, 07125",+380 59 690-76-75,saliiiaroslav@example.org
Палій,Альбіна,Петрівна,Жіноча,20.10.1992,Археолог,місто Тульчин,"провулок Лінія 23-тя, буд. 55 кв. 918, Алмазна, 91357",+380 (55) 580-24-15,bdurdynets@example.net
Бабиченко,Борис,Денисович,Чоловіча,11.02.1942,Астрофізик,селище Алчевськ,"провулок Гладкова, буд. 44, Перевальськ, 37855",+380 29 121-00-14,tsiupasviatoslav@example.com
Яремчук,Хома,Васильович,Чоловіча,15.03.1953,Диригент,село Вараш,"набережна Лінія 42-га, буд. 9, Бережани, 29356",+380 00 686 51 12,civanchenko@example.net
Павличенко,Світлана,Петрівна,Жіноча,07.07.1939,Художник,селище Золотоноша,"шосе Нафтовиків, буд. 509, Зборів, 56288",+380 65 315 75 51,iukhym36@example.org
Карпенко,Омелян,Артемович,Чоловіча,25.07.1982,Випробувач,місто Борзна,"площа Гаршина, буд. 0 кв. 9, Пустомити, 62804",054 660 43 61,edyta58@example.net
Ващук,Марина,Олегівна,Жіноча,19.07.1997,Електротехнік,село Шостка,"шосе Професора Коровицького, буд. 23, Гірник , 60102",+380 23 283-69-01,dmytro55@example.net
Вергун,Климент,Олегович,Чоловіча,23.02.1938,Бібліограф,місто Чоп,"сквер Чубаївська, буд. 2, Могилів-Подільський, 30473",+380 06 563-69-41,nestorchaika@example.net
Артюх,Артем,Андрійович,Чоловіча,14.10.1949,Стропальник,місто Хрестівка,"узвіз Прорізна, буд. 37, Суми, 39420",143 50 60,lvakhnii@example.org
Чабан,Юстим,Петрович,Чоловіча,31.07.1972,Економіст,селище Кілія,"проспект Харківська, буд. 695 кв. 074, Олександрівськ, 49265",055 438-56-49,milena85@example.com
Скопенко,Пріска,Андріївна,Жіноча,07.10.1972,Фізик,село Черкаси,"вулиця Естафетна, буд. 32 кв. 3, Рава-Руська, 43138",+380 89 238-96-85,xbaturynets@example.com
Сімашкевич,Антон,Андрійович,Чоловіча,05.11.1950,Паралегал,село Баранівка,"провулок Магнітогорський 2-й, буд. 1, Корсунь-Шевченківський, 04246",+380 96 035 05 58,snizhana26@example.com
Ященко,Варфоломій,Ярославович,Чоловіча,19.06.1942,Слідчий,селище Лебедин,"вулиця Катерининська, буд. 485, Первомайський , 32997",659 70 53,herman20@example.net
Сагаль,Пилип,Олегович,Чоловіча,14.08.1978,Машиніст,село Кам'янка-Дніпровська,"площа Князівська, буд. 25 кв. 167, Українськ, 73614",092 967-20-15,ovalenko@example.net
Аронець,Лариса,Сергіївна,Жіноча,14.02.1948,Дантист,село Комарно,"проспект Дальній, буд. 176, Зимогір'я, 75167",+380 79 463-73-12,petro91@example.org
Макаренко,Клавдія,Андріївна,Жіноча,25.01.1986,Мистецтвознавець,хутір Кодима,"площа Сергія Ядова, буд. 2 кв. 6, Житомир, 86156",+380 (01) 503-72-67,terezapanchuk@example.net
Перебийніс,Надія,Михайлівна,Жіноча,26.05.1975,Євнух,селище Марганець ,"парк 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 43, Курахове, 99742",+380 (41) 788-62-89,yiurchenko@example.com
Назаренко,Єлисавета,Ярославівна,Жіноча,10.04.1950,Секретар,місто Іловайськ,"площа Польова, буд. 413 кв. 12, Шаргород, 97535",+380 70 675 33 92,aaleksandrenko@example.org
Дзиндра,Марія,Михайлівна,Жіноча,31.10.1948,Зоолог,хутір Радивилів,"провулок Промисловий, буд. 81, Тлумач, 15833",008 157-84-13,eduardbairak@example.net
Александренко,Ігнат,Сергійович,Чоловіча,30.09.2000,М'ясник,місто Новоград-Волинський,"вулиця Воронезька, буд. 78 кв. 6, Овруч, 54527",848-09-86,irena81@example.com
Вдовенко,Розалія,Іванівна,Жіноча,09.06.1970,Лікар,хутір Теплодар,"вулиця Лінія 33-тя, буд. 013 кв. 80, Броди, 89149",+380 28 659 40 59,izhakielysaveta@example.org
Рябовіл,Єфрем,Петрович,Чоловіча,24.04.1959,Ді-джей,село Зміїв,"парк Нескучна, буд. 12, Тиврів, 61049",879-54-29,kozakokhrim@example.com
Вертипорох,Данило,Ярославович,Чоловіча,23.01.1991,Електрослюсар,село Мукачево,"сквер Лесі Українки, буд. 41, Любомль, 41542",630 04 11,demianvashchuk@example.com
Масляк,Альберт,Васильович,Чоловіча,17.10.1981,Флорист,село Дніпрорудне,"набережна Удільний, буд. 3 кв. 1, Лутугине, 37253",036 876 04 73,albinabandera@example.org
Козак,Макар,Петрович,Чоловіча,23.02.1948,Палеонтолог,місто Новоград-Волинський,"провулок Фабрична, буд. 76 кв. 10, Арциз, 44349",+380 40 044-62-54,eiashchuk@example.com
Забіла,Ірина,Денисівна,Жіноча,28.05.1986,Графік,село Бурштин ,"набережна Верф’яний, буд. 7 кв. 27, Канів, 07267",+380 86 996-03-83,oleksavlasenko@example.org
Чайка,Зиновій,Михайлович,Чоловіча,02.02.1978,Клоун,село Новомиргород,"шосе Деревообробний 2-й, буд. 575, Приморськ (Україна), 16227",+380 10 390-21-50,rfesenko@example.net
Короленко,Нестор,Іванович,Чоловіча,28.08.1943,Журналіст,місто Покров,"вулиця Старокінний, буд. 51 кв. 1, Рожище, 58832",015 959-13-00,varfolomii43@example.net
Палій,Златослава,Василівна,Жіноча,18.02.1998,Акушер,село Біляївка,"набережна Бугаївська, буд. 56 кв. 9, Яремче, 05332",057 228-26-21,lredko@example.com
Забіла,Валентина,Денисівна,Жіноча,15.01.1948,Ді-джей,місто Голубівка,"проспект Морехідний, буд. 777, Південне , 74409",+380 (58) 189-45-71,bandurkavolodymyra@example.net
Габелко,Богуслав,Михайлович,Чоловіча,28.02.1981,Письменник,місто Дрогобич,"вулиця Лінія 40-ва, буд. 4, Курахове, 87163",+380 30 566-76-70,lubenetsonysym@example.com
Пʼятаченко,Владислав,Васильович,Чоловіча,24.03.1982,Штукатур,місто Кіцмань,"узвіз Кипарисний 1-й, буд. 7, Старий Крим, 30583",021 005 81 35,okseniia73@example.org
Штокало,Юхим,Васильович,Чоловіча,12.02.1986,Юрист,хутір Нетішин,"проспект Восьмого Березня Лінія 3-тя, буд. 016, Соледар, 78004",455-07-14,jchornovil@example.org
Баран,Леонтій,Васильович,Чоловіча,30.03.1947,Кінорежисер,село Олешки,"вулиця Авіаційна, буд. 37 кв. 713, Лозова , 51492",+380 97 082-83-89,stefan48@example.com
Чміль,Пилип,Денисович,Чоловіча,23.08.1959,Електротехнік,селище Сніжне,"парк Північний, буд. 29 кв. 446, Іршава, 62569",929-69-06,nataliianikoliuk@example.net
Негода,Устим,Ярославович,Чоловіча,22.04.2003,Дипломат,селище Кривий Ріг,"узвіз Пржевальського, буд. 421, Севастополь, 15522",844-80-69,mariia95@example.com
Дашкевич,Йосип,Артемович,Чоловіча,19.11.1976,Єгер,хутір Зміїв,"площа Виїзна, буд. 348, Федорівка, 69808",080 477-07-87,anastasiianestaiko@example.net
Ґжицький,Спас,Михайлович,Чоловіча,16.06.1944,Фермер,селище Тульчин,"площа Восьмого березня узвіз, буд. 981 кв. 22, Верхівцеве, 94557",+380 87 256-66-35,iakiv92@example.com
Алексеєнко,Наталія,Денисівна,Жіноча,29.11.1991,Єгер,село Остер ,"шосе Вєтрова, буд. 97, Новий Калинів, 87344",+380 (33) 162-66-43,stetsklyment@example.net
Шеремета,Оксана,Іванівна,Жіноча,08.04.1947,Геолог,село Радехів,"проспект Марсельська, буд. 895 кв. 50, Жашків, 26585",+380 43 403 85 47,martaiemets@example.org
Ткач,Наталія,Сергіївна,Жіноча,24.08.1964,Фізик,місто Олевськ,"сквер Стражеска Миколи, буд. 2 кв. 616, Зборів, 88811",034 030 68 91,pchupryna@example.com
Дзиндра,Богуслава,Олегівна,Жіноча,17.07.1997,Бібліограф,місто Новомосковськ,"парк Уральська, буд. 85, Буча, 95044",+380 30 526 58 90,tryhubfedir@example.com
Цибуленко,Тимофій,Сергійович,Чоловіча,07.03.1990,Редактор,хутір Інкерман,"набережна ПшеничнаРадищева, буд. 793, Болехів, 40662",+380 33 813-16-18,kbevzenko@example.net
Карпенко,Мартин,Петрович,Чоловіча,26.06.1982,Реабілітолог,селище Дружба ,"площа Маланова, буд. 02 кв. 794, Ніжин, 67857",086 579-93-53,lizacherednyk@example.net
Шаповал,Аарон,Петрович,Чоловіча,26.04.1975,Журналіст,село Зоринськ,"площа Фруктовий, буд. 713 кв. 9, Старобільськ, 34749",+380 26 721 31 02,izhakboleslav@example.com
Корпанюк,Мілена,Петрівна,Жіноча,01.09.1987,Лікар,селище Володимир-Волинський,"набережна Десята, буд. 3, Біляївка, 07055",+380 47 867-05-37,szarudnyi@example.net
Царенко,Ліза,Олегівна,Жіноча,04.01.1957,Правник,місто Міусинськ,"парк Овідіопольська, буд. 99, Путивль, 38903",090 161 49 07,davyd96@example.net
Тригуб,Богуслав,Сергійович,Чоловіча,25.01.1938,Медик,село Чугуїв,"шосе Травневий 4-й, буд. 578, Ямпіль, 11004",+380 94 707-24-32,gzakusylo@example.net
Лупій,Михайлина,Денисівна,Жіноча,20.10.1982,Мікробіолог,селище Богуслав,"сквер Вокзальна, буд. 832 кв. 92, Березань , 10138",+380 26 022-99-83,onysym55@example.net
